"Iso"	"Species"	"Period"	"Nutri"	"Pred"	"Phos"	"Trial"	"AucA"	"AucP"	"GrowA"	"GrowP"
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	105	10	0.12906	0.036712
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	113	0	0.292553	0
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	112	25	0.250384	0.116283
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	106	0	0.079432	0
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	103	9	0.12724	0.064243
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	112	0	0.295156	0
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	107	27	0.24376	0.062381
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	107	0	0.17262	0
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	104	9	0.115543	0.121584
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	111	0	0.253146	0
"I26"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	109	24	0.233103	0.046025
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	112	0	0.083562	0
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	106	11	-0.048744	-0.009101
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	115	0	0.098554	0
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	117	17	0.168347	-0.072339
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	110	0	0.090538	0
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	108	11	0.101898	0.052155
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	118	0	0.212251	0
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	111	15	0.036899	-0.162045
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	110	0	0.110264	0
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	108	13	0.055458	-0.05157
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	118	0	0.225569	0
"I27"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	115	14	0.148334	-0.143559
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	112	0	0.140224	0
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	110	8	0.067918	0.132924
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	119	0	0.269496	0
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	119	27	0.227007	-0.016675
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	112	0	0.159421	0
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	111	7	0.15822	-0.028932
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	119	0	0.295351	0
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	120	30	0.307168	0.096747
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	113	0	0.188857	0
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	108	8	-0.025805	0.034603
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	119	0	0.274038	0
"I28"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	120	27	0.293067	0.075776
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	103	0	0.048729	0
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	101	12	0.00942	0.089639
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	113	0	0.203451	0
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	110	19	0.126907	0.145547
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	103	0	0.044984	0
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	101	14	0.043615	0.027659
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	113	0	0.181147	0
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	110	20	0.08967	0.308857
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	102	0	0.054872	0
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	103	12	0.029948	0.039534
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	113	0	0.198272	0
"I29"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	110	20	0.13115	0.39363
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	101	0	-0.104754	0
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	92	8	-0.413372	0.067003
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	107	0	0.095461	0
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	107	1	0.065059	-0.062744
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	102	0	-0.060784	0
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	96	8	-0.25257	0.088526
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	107	0	0.157029	0
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	108	0	0.093707	-0.032061
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	101	0	-0.041739	0
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	97	6	-0.237616	0.054535
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	107	0	0.173558	0
"I31"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	106	1	0.195463	-0.051861
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	93	0	0.073524	0
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	89	4	0.060681	-0.082483
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	100	0	0.241102	0
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	101	0	0.175979	-0.039796
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	92	0	0.061239	0
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	91	2	0.086423	-0.087061
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	102	0	0.231666	0
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	101	3	0.134308	-0.128934
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	95	0	0.080342	0
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	91	5	-0.006297	-0.073443
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	101	0	0.191633	0
"I32"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	100	1	0.081058	-0.055772
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	93	0	0.018818	0
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	89	1	0.025331	-0.081454
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	104	0	0.194597	0
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	100	0	0.024891	-0.045543
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	94	0	0.079592	0
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	92	1	0.047696	-0.052083
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	104	0	0.154189	0
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	101	1	0.11918	-0.06939
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	93	0	0.006127	0
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	94	1	-0.083218	-0.062197
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	103	0	0.19025	0
"I33"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	100	0	0.01688	-0.045543
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	94	0	-0.032141	0
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	86	16	-0.378978	0.198906
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	100	0	0.216526	0
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	96	12	0.003323	0.269131
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	92	0	-0.208553	0
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	94	1	0.004995	-0.045576
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	100	0	0.228758	0
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	94	14	0.018769	0.191699
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	91	0	-0.146415	0
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	83	12	-0.38872	0.089946
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	101	0	0.204362	0
"I34"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	92	15	-0.081684	0.250788
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	94	0	0.093365	0
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	82	9	-0.089013	0.106326
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	102	0	0.241983	0
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	96	10	0.119156	0.202076
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	94	0	0.166696	0
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	91	1	-0.083191	-0.057748
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	101	0	0.267278	0
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	96	16	0.038494	0.326807
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	96	0	0.092763	0
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	93	1	-0.034095	-0.057281
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	102	0	0.272072	0
"I35"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	95	16	-0.058008	0.317483
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	96	0	-0.030381	0
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	93	2	-0.003151	-0.084116
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	104	0	0.179184	0
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	98	1	0.057037	-0.057526
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	94	0	0.130521	0
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	90	5	0.034551	-0.082291
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	104	0	0.206646	0
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	101	1	0.156177	-0.065512
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	99	0	0.102271	0
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	91	14	-0.059271	0.190003
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	103	0	0.149641	0
"I36"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	100	11	0.013848	0.172247
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	89	0	0.086221	0
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	88	3	-0.047211	-0.073219
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	102	0	0.278069	0
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	100	7	0.106724	0.113715
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	92	0	0.077346	0
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	87	5	-0.047882	-0.10917
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	103	0	0.25392	0
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	97	17	-0.023425	0.276173
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	91	0	0.036696	0
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	87	9	-0.212957	-0.012864
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	104	0	0.208167	0
"I37"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	96	17	-0.040706	0.244782
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	90	0	0.081051	0
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	89	9	0.005855	0.109611
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	98	0	0.099766	0
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	89	0	-0.069345	-0.039796
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	97	0	0.054278	0
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	90	1	-0.113272	-0.046336
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	98	0	0.072731	0
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	90	10	-0.109897	0.192486
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	95	0	0.078676	0
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	93	4	-0.01227	-0.042622
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	94	0	0.04052	0
"I38"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	89	1	-0.075626	-0.038896
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	94	0	0.079934	0
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	90	4	-0.113794	-0.070777
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	100	0	0.188442	0
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	97	13	0.022276	0.285225
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	94	0	0.029703	0
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	94	2	-0.03058	-0.060271
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	101	0	0.198169	0
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	95	14	-0.055354	0.265777
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	97	0	0.005497	0
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	89	9	-0.167555	0.061181
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	99	0	0.25143	0
"I40"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	96	12	-0.000166	0.272296
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	95	0	0.020314	0
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	92	1	0.059736	-0.057748
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	102	0	0.134707	0
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	99	1	0.278244	-0.046336
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	96	0	0.057884	0
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	91	3	-0.004385	-0.108492
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	104	0	0.098162	0
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	99	15	0.058041	0.286758
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	89	0	0.3681	0
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	93	1	-0.073043	-0.038153
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	102	0	0.233067	0
"I41"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	101	2	0.124469	-0.083057
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	95	0	-0.082028	0
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	92	0	-0.209032	-0.018353
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	100	0	0.105698	0
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	97	0	-0.001186	-0.032061
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	94	0	-0.037909	0
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	93	8	-0.129645	0.099229
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	100	0	0.050761	0
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	98	0	0.009241	-0.018353
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	97	0	-0.051064	0
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	92	0	-0.222411	-0.025637
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	98	0	0.037173	0
"I42"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	99	0	-0.028529	-0.025637
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	97	0	-0.049528	0
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	86	2	-0.064615	-0.076986
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	103	0	0.089077	0
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	98	10	0.017019	0.111054
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	93	0	0.060857	0
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	89	12	-0.120764	0.070044
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	103	0	0.130851	0
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	99	8	0.047395	0.027019
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	97	0	0.054699	0
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	90	10	-0.180179	0.090645
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	102	0	0.127629	0
"I43"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	101	1	0.051082	-0.032628
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	97	0	0.06402	0
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	87	8	-0.18219	0.079108
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	103	0	0.152863	0
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	100	2	0.111584	0.023038
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	97	0	-0.003141	0
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	90	5	-0.099682	0.031045
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	104	0	0.137066	0
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	98	13	-0.046266	0.328139
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	98	0	0.082413	0
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	92	5	-0.185426	0.068341
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	103	0	0.147214	0
"I44"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	95	18	-0.156314	0.353613
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	85	0	-0.349142	0
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	70	14	-0.328676	0.113447
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	96	0	0.333906	0
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	78	21	-0.15967	0.290871
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	82	0	-0.083859	0
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	70	13	-0.262359	0.120208
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	95	0	0.311169	0
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	81	15	0.007106	0.089461
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	82	0	-0.184324	0
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	66	12	-0.261473	0.061039
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	97	0	0.181123	0
"I45"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	80	18	-0.197826	0.230442
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	82	0	-0.153558	0
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	68	15	-0.297287	0.098845
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	98	0	0.137893	0
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	81	22	-0.300022	0.343541
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	80	0	-0.113714	0
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	70	15	-0.227204	0.173299
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	97	0	0.323172	0
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	85	19	-0.130812	0.375834
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	80	0	-0.103899	0
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	71	14	-0.407695	0.13111
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	96	0	0.239235	0
"I46"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	78	23	-0.188468	0.273127
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	90	0	0.028915	0
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	91	2	0.0537	-0.068471
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	105	0	0.192362	0
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	100	3	0.187792	0.022727
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	95	0	-0.018625	0
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	86	6	-0.12454	-0.109729
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	104	0	0.211664	0
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	99	16	0.085172	0.379522
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	3	95	0	-0.04984	0
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	3	91	3	-0.026874	-0.097289
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	3	104	0	0.208387	0
"I47"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	3	102	2	0.231193	-0.108726
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	1	92	0	0.034015	0
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	1	89	2	0.062797	-0.062419
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	1	102	0	0.246179	0
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	1	97	0	0.109208	-0.039796
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"Without"	5.5	2	92	0	0.033747	0
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"Low"	"With"	5.5	2	90	0	0.005479	-0.039796
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"Without"	55	2	103	0	0.23448	0
"I48"	"Chlamydomonas bilatus"	"Eutrophic"	"High"	"With"	55	2	98	6	0.167476	0.191899
