Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	IXMI	IXMF
4A_A3	I15	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	5557	4569
4A_A3	I15	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	5541	4425
4A_A3	I15	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	5455	4350
4A_A3	I15	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4816	4536
4A_A5	I16	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	1683	2129
4A_A5	I16	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	1560	1936
4A_A5	I16	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	1504	2237
4A_A5	I16	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	1374	2298
4A_A5	I16	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	1653	2055
4A_B2	I17	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2816	2476
4A_B2	I17	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2215	2283
4A_B2	I17	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2478	2412
4A_B2	I17	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2993	2258
4A_B2	I17	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2876	1814
4A_B5	I18	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	3430	3756
4A_B5	I18	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	3019	4161
4A_B5	I18	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	3147	4143
4A_B5	I18	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	3482	4887
4A_B5	I18	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	3319	3422
4A_C3	I19	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	3314	2631
4A_C3	I19	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2349	2599
4A_C3	I19	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2845	2347
4A_C3	I19	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	3612	1999
4A_C3	I19	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	3206	1609
4A_C4	I20	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	4397	4862
4A_C4	I20	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	4498	4208
4A_C4	I20	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	4976	4434
4A_C4	I20	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	5551	4527
4A_C4	I20	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	5007	4158
4B_A2	I23	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	3006	2570
4B_A2	I23	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2866	2757
4B_A2	I23	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2971	2659
4B_A2	I23	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	3056	2366
4B_A2	I23	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	3023	2428
4B_A5	I24	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2796	2820
4B_A5	I24	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	3141	2764
4B_A5	I24	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	3094	2825
4B_A5	I24	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	3132	2604
4B_A5	I24	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	3155	2889
4B_B2	I25	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2864	3103
4B_B2	I25	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	3369	3009
4B_B2	I25	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	3495	3122
4B_B2	I25	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	3553	2948
4B_B2	I25	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	3496	3177
4B_B3	I26	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2868	2451
4B_B3	I26	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2484	2186
4B_B3	I26	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2272	2296
4B_B3	I26	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2099	2468
4B_B3	I26	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2250	2507
4B_B4	I27	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	4888	3980
4B_B4	I27	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	4891	4788
4B_B4	I27	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	4888	4853
4B_B4	I27	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	4915	3179
4B_B4	I27	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4527	4019
4B_B6	I28	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2962	2099
4B_B6	I28	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2355	2188
4B_B6	I28	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	1775	2623
4B_B6	I28	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2123	3138
4B_B6	I28	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2021	2928
4B_C2	I29	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2171	1254
4B_C2	I29	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	1757	1794
4B_C2	I29	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	1728	2051
4B_C2	I29	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	1570	2025
4B_C2	I29	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2156	1912
18A_A1	I31	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	3419	3205
18A_A1	I31	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	4123	3503
18A_A1	I31	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	3085	3317
18A_A1	I31	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	4373	3292
18A_A1	I31	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	4074	2896
18A_A2	I32	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	5528	4755
18A_A2	I32	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	5295	4414
18A_A2	I32	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	5157	3952
18A_A2	I32	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	5931	4975
18A_A2	I32	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	5439	5120
18A_A3	I33	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	3704	3165
18A_A3	I33	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	3886	3086
18A_A3	I33	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	3381	3199
18A_A3	I33	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	4338	2805
18A_A3	I33	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	3933	2644
18A_B4	I34	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	5561	5395
18A_B4	I34	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	5169	4781
18A_B4	I34	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	5659	3408
18A_B4	I34	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	5956	4474
18A_B4	I34	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	5576	3712
18A_B5	I35	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	2870	2510
18A_B5	I35	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	2912	2353
18A_B5	I35	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	3154	2544
18A_B5	I35	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	2955	2038
18A_B5	I35	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	3080	2646
18A_C3	I36	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	3717	3313
18A_C3	I36	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	3662	2422
18A_C3	I36	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	3970	2653
18A_C3	I36	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	4171	2501
18A_C3	I36	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	3959	2964
18A_C5	I37	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	4125	3614
18A_C5	I37	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	4702	3259
18A_C5	I37	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	4119	3552
18A_C5	I37	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	5057	3639
18A_C5	I37	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	4320	3535
18A_D1	I38	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	3803	3065
18A_D1	I38	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	3670	3072
18A_D1	I38	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	3772	3211
18A_D1	I38	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	4	3866	2873
18A_D1	I38	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	5	3618	2979
18A_D4	I40	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	1	3503	3338
18A_D4	I40	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	2	3866	3179
18A_D4	I40	Chlamydomonas_bilatus	Eutrophic	5	13	1	2.08	3	3580	2668
