"Iso"	"Species"	"Trial"	"GR"	"CC"
"I24"	"Chlamydomonas noctigama"	3	1.449	102428
"I24"	"Chlamydomonas noctigama"	4	1.6281	104388
"I24"	"Chlamydomonas noctigama"	5	1.2723	106010
"I25"	"Chlamydomonas noctigama"	1	1.3896	194188
"I25"	"Chlamydomonas noctigama"	2	1.2824	212048
"I25"	"Chlamydomonas noctigama"	3	1.3362	211277
"I25"	"Chlamydomonas noctigama"	4	1.3088	205180
"I25"	"Chlamydomonas noctigama"	5	1.316	224973
"I26"	"Chlamydomonas noctigama"	1	1.2767	36828
"I26"	"Chlamydomonas noctigama"	2	1.54	36017
"I26"	"Chlamydomonas noctigama"	3	1.1633	33678
"I26"	"Chlamydomonas noctigama"	4	1.4342	38194
"I26"	"Chlamydomonas noctigama"	5	1.2903	35977
"I27"	"Chlamydomonas noctigama"	1	1.5268	62233
"I27"	"Chlamydomonas noctigama"	2	1.7414	59677
"I27"	"Chlamydomonas noctigama"	3	1.4597	61462
"I27"	"Chlamydomonas noctigama"	4	1.7064	59488
"I27"	"Chlamydomonas noctigama"	5	1.1227	61530
"I28"	"Chlamydomonas noctigama"	1	1.3678	82161
"I28"	"Chlamydomonas noctigama"	2	1.2504	65775
"I28"	"Chlamydomonas noctigama"	3	1.2645	59840
"I28"	"Chlamydomonas noctigama"	4	1.2218	57568
"I28"	"Chlamydomonas noctigama"	5	1.3427	54864
"I29"	"Chlamydomonas noctigama"	1	1.3235	116867
"I29"	"Chlamydomonas noctigama"	2	1.0063	114677
"I29"	"Chlamydomonas noctigama"	3	1.3854	118638
"I29"	"Chlamydomonas noctigama"	4	1.1523	117164
"I29"	"Chlamydomonas noctigama"	5	1.0523	130333
"I31"	"Chlamydomonas bilatus"	1	1.1264	210980
"I31"	"Chlamydomonas bilatus"	2	1.5276	240210
"I31"	"Chlamydomonas bilatus"	3	1.2871	240386
"I31"	"Chlamydomonas bilatus"	4	1.4689	263910
"I31"	"Chlamydomonas bilatus"	5	1.2769	244482
"I32"	"Chlamydomonas bilatus"	1	1.4632	96965
"I32"	"Chlamydomonas bilatus"	2	1.7236	121031
"I32"	"Chlamydomonas bilatus"	3	1.5423	143298
"I32"	"Chlamydomonas bilatus"	4	1.1281	130400
"I32"	"Chlamydomonas bilatus"	5	1.4151	143326
"I33"	"Chlamydomonas bilatus"	1	2.0131	114798
"I33"	"Chlamydomonas bilatus"	2	1.4489	145124
"I33"	"Chlamydomonas bilatus"	3	1.4816	147354
"I33"	"Chlamydomonas bilatus"	4	1.6366	159049
"I33"	"Chlamydomonas bilatus"	5	1.4243	158049
"I34"	"Chlamydomonas bilatus"	1	1.5574	240007
"I34"	"Chlamydomonas bilatus"	2	1.1736	236735
"I34"	"Chlamydomonas bilatus"	3	1.4745	243536
"I34"	"Chlamydomonas bilatus"	4	1.6219	233680
"I34"	"Chlamydomonas bilatus"	5	1.4421	241440
"I35"	"Chlamydomonas bilatus"	1	1.2006	266358
"I35"	"Chlamydomonas bilatus"	2	1.37	289369
"I35"	"Chlamydomonas bilatus"	3	1.4841	303200
"I35"	"Chlamydomonas bilatus"	4	1.2024	285610
"I35"	"Chlamydomonas bilatus"	5	1.3719	320329
"I36"	"Chlamydomonas bilatus"	1	1.3111	118935
"I36"	"Chlamydomonas bilatus"	2	1.31	152424
"I36"	"Chlamydomonas bilatus"	3	1.0713	157359
"I36"	"Chlamydomonas bilatus"	4	1.3243	164200
"I36"	"Chlamydomonas bilatus"	5	1.2965	186468
"I37"	"Chlamydomonas bilatus"	1	1.6572	84000
"I37"	"Chlamydomonas bilatus"	2	1.1586	106240
"I37"	"Chlamydomonas bilatus"	3	1.2432	122302
"I37"	"Chlamydomonas bilatus"	4	1.2537	119666
"I37"	"Chlamydomonas bilatus"	5	1.5095	125087
"I38"	"Chlamydomonas bilatus"	1	1.4414	155818
"I38"	"Chlamydomonas bilatus"	2	1.3599	186887
"I38"	"Chlamydomonas bilatus"	3	1.5348	193187
"I38"	"Chlamydomonas bilatus"	4	1.1417	188361
"I38"	"Chlamydomonas bilatus"	5	1.2763	209844
"I40"	"Chlamydomonas bilatus"	1	1.2967	507270
"I40"	"Chlamydomonas bilatus"	2	1.231	479798
"I40"	"Chlamydomonas bilatus"	3	1.2547	512165
"I40"	"Chlamydomonas bilatus"	4	1.4016	481285
"I40"	"Chlamydomonas bilatus"	5	1.2804	474714
"I41"	"Chlamydomonas bilatus"	1	0.9845	209168
"I41"	"Chlamydomonas bilatus"	2	1.3947	203584
"I41"	"Chlamydomonas bilatus"	3	1.1309	195918
"I41"	"Chlamydomonas bilatus"	4	1.0675	196527
"I41"	"Chlamydomonas bilatus"	5	1.3113	189266
"I42"	"Chlamydomonas bilatus"	1	1.5268	141636
"I42"	"Chlamydomonas bilatus"	2	1.4839	201894
"I42"	"Chlamydomonas bilatus"	3	1.4348	226906
"I42"	"Chlamydomonas bilatus"	4	1.3245	212250
"I42"	"Chlamydomonas bilatus"	5	1.5293	225189
"I43"	"Chlamydomonas bilatus"	1	1.6947	187901
"I43"	"Chlamydomonas bilatus"	2	1.5877	217037
"I43"	"Chlamydomonas bilatus"	3	1.0802	221917
"I43"	"Chlamydomonas bilatus"	4	1.3953	231733
"I43"	"Chlamydomonas bilatus"	5	2.0043	226920
"I44"	"Chlamydomonas bilatus"	1	1.396	252567
"I44"	"Chlamydomonas bilatus"	2	1.4532	260165
"I44"	"Chlamydomonas bilatus"	3	1.5877	271833
"I44"	"Chlamydomonas bilatus"	4	1.4312	276890
"I44"	"Chlamydomonas bilatus"	5	1.6062	282392
"I45"	"Chlamydomonas bilatus"	1	1.1673	184710
"I45"	"Chlamydomonas bilatus"	2	1.4253	194012
"I45"	"Chlamydomonas bilatus"	3	1.6871	188888
"I45"	"Chlamydomonas bilatus"	4	1.6395	192957
"I45"	"Chlamydomonas bilatus"	5	1.311	187982
"I46"	"Chlamydomonas bilatus"	1	1.3694	98006
"I46"	"Chlamydomonas bilatus"	2	1.5997	109039
"I46"	"Chlamydomonas bilatus"	3	1.2706	106456
"I46"	"Chlamydomonas bilatus"	4	1.3777	114596
