Code	Iso	Species	Period	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	4	132
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4	144
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	6	331
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	6	398
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	6	438
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	6	446
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	6	470
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	8	834
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	8	671
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	8	719
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	8	884
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	8	872
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	10	613
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	10	827
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	10	640
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	10	586
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	10	774
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	12	429
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	12	505
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	12	721
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	12	812
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	12	850
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	14	658
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	14	849
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	14	767
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	14	894
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	14	848
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	16	929
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	16	741
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	16	871
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	16	654
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	16	1019
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	18	802
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	18	679
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	18	709
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	18	800
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	18	884
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	20	944
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	20	1034
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	20	1035
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	20	1207
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	20	1154
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	2	428
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	2	442
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	2	443
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	2	430
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	2	457
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	4	1173
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	4	866
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	4	938
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	4	949
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	4	868
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	6	1426
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	6	1348
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	6	1177
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	6	1215
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	6	1308
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	8	1307
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	8	1060
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	8	1415
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	8	1162
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	8	1362
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	10	1242
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	10	1084
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	10	1067
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	10	1042
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	10	853
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	12	1259
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	12	948
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	12	1065
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	12	1002
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	12	994
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	14	1068
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	14	930
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	14	913
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	14	1143
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	14	1400
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	16	1191
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	16	1264
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	16	1283
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	16	1339
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	16	1459
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	1	18	1155
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	2	18	937
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	3	18	1071
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	4	18	1465
3A_C1	I4	Chlamydomonas_noctigama	Oligotrophic	5	13	1	2.08	5	18	1400
