"Iso"	"Species"	"IR"	"IRLSD"	"IRUSD"	"CR"	"CRLSD"	"CRUSD"	"GR"	"GRLSD"	"GRUSD"	"CC"	"CCLSD"	"CCUSD"	"HS"	"HSLSD"	"HSUSD"	"AF"	"AFLSD"	"AFUSD"	"GRM"	"GRMLSD"	"GRMUSD"	"CA"	"CALSD"	"CAUSD"	"CD"	"CDLSD"	"CDUSD"
"I24"	"Chlamydomonas noctigama"	0.0541	0.0178	0.0904	0.0037	0.0012	0.0061	1.4645	1.3342	1.5949	103777	102331	105223	0.0225	0	0.1665	10.9867	9.3467	12.6267	0.2472	0.2103	0.2841	137.0942	89.9156	184.2728	13.0571	11.0187	15.0955
"I25"	"Chlamydomonas noctigama"	0.0622	0.0216	0.1029	0.0038	0.0014	0.0062	1.3266	1.2865	1.3667	209533	198329	220738	0.044	0	0.2091	6.9818	6.2045	7.7591	0.3072	0.273	0.3414	145.2594	6.5422	283.9766	13.0033	9.0082	16.9984
"I26"	"Chlamydomonas noctigama"	0.0269	0	0.0645	0.0021	0	0.0051	1.3409	1.1938	1.488	36139	34496	37782	0.0439	0	0.173	4.4282	3.18	5.6765	0.1944	0.1396	0.2492	176.3757	16.8788	335.8725	14.3256	9.9138	18.7374
"I27"	"Chlamydomonas noctigama"	0.1236	0	0.2544	0.0054	0	0.0111	1.5114	1.264	1.7588	60878	59656	62100	0.2052	0.014	0.3964	1.2159	0.9937	1.4381	0.2495	0.2039	0.2951	143.0624	1.7509	284.3739	12.9203	9.0069	16.8336
"I28"	"Chlamydomonas noctigama"	0.0387	0	0.109	0.0029	0	0.0079	1.2894	1.2268	1.3521	64042	53143	74940	0.0742	0	0.2654	3.5108	2.9326	4.0889	0.2605	0.2176	0.3034	208.2784	35.6566	380.9002	15.5639	10.7583	20.3694
"I29"	"Chlamydomonas noctigama"	0.0436	0	0.1182	0.0043	0	0.0116	1.184	1.0182	1.3498	119536	113336	125735	0.0437	0.0152	0.0722	7.6545	6.1854	9.1236	0.3345	0.2703	0.3987	135.9804	75.9634	195.9975	12.8977	10.2759	15.5196
"I31"	"Chlamydomonas bilatus"	0.1162	0.0189	0.2134	0.006	0.0011	0.0109	1.3374	1.176	1.4988	239994	221059	258929	0.0103	0	0.0402	33.534	28.0971	38.9709	0.3454	0.2894	0.4014	129.8264	80.113	179.5399	12.6829	10.5546	14.8111
"I32"	"Chlamydomonas bilatus"	0.1553	0.0942	0.2163	0.0061	0.0036	0.0086	1.4545	1.2375	1.6714	127004	107759	146249	0.014	0	0.328	16.3071	13.3571	19.2571	0.2283	0.187	0.2696	241.1546	0.2658	482.0434	16.4654	10.4568	22.4739
"I33"	"Chlamydomonas bilatus"	0.1631	0.0601	0.2661	0.0087	0.0037	0.0137	1.6009	1.3561	1.8457	144875	126949	162800	0.0169	0	0.1906	15.0888	11.8521	18.3254	0.255	0.2003	0.3097	336.7604	14.3193	659.2014	19.2067	11.4538	26.9597
"I34"	"Chlamydomonas bilatus"	0.231	0.0592	0.4028	0.0087	0.0023	0.0151	1.4539	1.2821	1.6257	239080	235176	242983	0.0405	0	0.3394	4.963	3.916	6.0099	0.201	0.1586	0.2434	192.7882	100.1166	285.4597	15.3268	12.0587	18.5949
"I35"	"Chlamydomonas bilatus"	0.1082	0.0678	0.1485	0.0077	0.0048	0.0106	1.3258	1.2033	1.4483	292973	272796	313151	0.0419	0	0.134	6.7184	5.401	8.0358	0.2815	0.2263	0.3367	122.0225	67.9234	176.1216	12.2719	10.0707	14.473
"I36"	"Chlamydomonas bilatus"	0.2113	0.123	0.2996	0.0114	0.0069	0.0159	1.2626	1.1552	1.3701	155877	131465	180290	0.1904	0	0.4884	1.5368	1.1029	1.9706	0.2926	0.21	0.3752	221.323	127.9333	314.7128	16.4507	13.0868	19.8146
"I37"	"Chlamydomonas bilatus"	0.1774	0.0919	0.2629	0.0082	0.0049	0.0116	1.3644	1.1546	1.5743	111459	94489	128429	0.0221	0	0.4289	8.3801	6.7692	10.5023	0.1852	0.1496	0.2321	151.6116	82.3137	220.9096	13.6101	10.7989	16.4213
"I38"	"Chlamydomonas bilatus"	0.1325	0.0999	0.1651	0.0075	0.0058	0.0092	1.3508	1.1996	1.502	186819	167235	206403	0.0437	0	0.1318	7.6178	5.7895	9.4462	0.3329	0.253	0.4128	177.8271	63.7898	291.8643	14.5455	10.6774	18.4136
"I40"	"Chlamydomonas bilatus"	0.1049	0.0428	0.167	0.0061	0.0026	0.0095	1.2929	1.2272	1.3586	491046	473742	508351	0.0138	0	0.0536	17.7319	15.3768	20.087	0.2447	0.2122	0.2772	159.5632	53.2135	265.9128	13.8141	10.2873	17.3409
"I41"	"Chlamydomonas bilatus"	0.1787	0.06	0.2974	0.0087	0.0028	0.0146	1.1778	1.007	1.3485	198893	191232	206553	0.0198	0	0.1878	4.1465	2.9343	5.3586	0.0821	0.0581	0.1061	183.3058	100.3521	266.2596	14.9321	11.685	18.1793
"I42"	"Chlamydomonas bilatus"	0.0886	0.0262	0.1511	0.0039	0.0012	0.0066	1.4599	1.375	1.5448	201575	166554	236596	0.0118	0	0.1072	19.6949	16.678	22.7203	0.2324	0.1968	0.2681	215.754	129.537	301.971	16.2802	13.1495	19.411
