Code	Iso	Species	Period	Nutri	Pred	Phos	Rotifer	Volu	Site	Dilu	Cove	Trial	Day	IXM
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	5	577
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	5	423
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	5	461
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	31	5	13	1	2,08	1	5	296
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	24	5	13	1	2,08	2	5	198
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	20	5	13	1	2,08	3	5	285
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	6	156
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	6	217
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	6	159
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	10	5	13	1	2,08	1	6	93
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	11	5	13	1	2,08	2	6	82
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	5	5	13	1	2,08	3	6	98
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	6	587
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	6	515
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	6	703
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	46	5	13	1	2,08	1	6	182
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	44	5	13	1	2,08	2	6	474
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	35	5	13	1	2,08	3	6	272
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	7	301
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	7	197
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	7	200
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	7	5	13	1	2,08	1	7	99
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	12	5	13	1	2,08	2	7	122
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	4	5	13	1	2,08	3	7	138
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	7	1146
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	7	821
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	7	869
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	56	5	13	1	2,08	1	7	240
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	52	5	13	1	2,08	2	7	505
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	44	5	13	1	2,08	3	7	467
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	8	305
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	8	300
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	8	321
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	3	5	13	1	2,08	1	8	169
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	7	5	13	1	2,08	2	8	29
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	5	5	13	1	2,08	3	8	109
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	8	1223
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	8	1132
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	8	1010
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	96	5	13	1	2,08	1	8	442
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	53	5	13	1	2,08	2	8	492
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	58	5	13	1	2,08	3	8	371
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	9	353
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	9	295
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	9	311
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	2	5	13	1	2,08	1	9	170
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	7	5	13	1	2,08	2	9	102
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	6	5	13	1	2,08	3	9	161
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	9	1236
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	9	1196
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	9	1074
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	94	5	13	1	2,08	1	9	313
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	58	5	13	1	2,08	2	9	377
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	46	5	13	1	2,08	3	9	484
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	10	176
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	10	358
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	10	321
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	1	5	13	1	2,08	1	10	160
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	2	5	13	1	2,08	2	10	126
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	4	5	13	1	2,08	3	10	109
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	10	859
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	10	1166
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	10	890
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	58	5	13	1	2,08	1	10	150
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	36	5	13	1	2,08	2	10	395
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	48	5	13	1	2,08	3	10	616
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	15	459
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	15	293
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	15	277
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	0	5	13	1	2,08	1	15	195
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	1	5	13	1	2,08	2	15	99
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	0	5	13	1	2,08	3	15	250
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	15	1168
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	15	974
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	15	1376
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	13	5	13	1	2,08	1	15	459
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	8	5	13	1	2,08	2	15	488
3A_B1	I2	Chlamydomonas_noctigama	Oligotrophic	High	With	55	7	5	13	1	2,08	3	15	488
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	1	87
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	1	111
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	1	108
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	3	5	13	1	2,08	1	1	81
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	4	5	13	1	2,08	2	1	58
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	4	5	13	1	2,08	3	1	97
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	1	71
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	1	141
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	1	81
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	3	5	13	1	2,08	1	1	63
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	3	5	13	1	2,08	2	1	80
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	3	5	13	1	2,08	3	1	125
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	1	2	82
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	2	2	67
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	Without	5.5	0	5	13	1	2,08	3	2	47
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	2	5	13	1	2,08	1	2	109
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	4	5	13	1	2,08	2	2	53
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	Low	With	5.5	5	5	13	1	2,08	3	2	236
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	1	2	27
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	2	2	55
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	Without	55	0	5	13	1	2,08	3	2	74
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	2	5	13	1	2,08	1	2	19
3A_B5	I3	Chlamydomonas_noctigama	Oligotrophic	High	With	55	6	5	13	1	2,08	2	2	39
