"Iso"	"Species"	"Period"	"Nutri"	"Pred"	"Phos"	"Trial"	"GrowA"	"GrowP"
"I5"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.141189845116688	0.220470729829772
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.0501221735282176	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.120213103980214	-0.0166919197492535
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.145214601876172	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.169331362897131	0.361779579419376
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.19305863634097	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.0364994283812901	0.00349848813337454
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.200918997210889	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.228244926259537	0.140773609556413
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.0717068836819018	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	-0.000777997069187805	0.0678702167846995
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.236689536374735	0
"I7"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.0309324711726031	0.412055077559024
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.0439984568448812	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	-0.0437256449260405	0.0759380790161446
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.286285050115799	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.171309289297063	0.220262667224394
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.0344135751387343	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	-0.227117688933501	0.173062510134704
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.288382003742311	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.268806009818661	-0.0339728443067716
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.114261547404753	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.0440901473964841	0.0721226747715944
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.32854945092198	0
"I8"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	-0.0481731684218602	0.252521320528652
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.0914652610366009	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.112331130222954	0.00578032319445208
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.253062713183773	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.0951773278895026	0.0690609899253549
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.119088780486358	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	0.0299312380888516	0.0560529665135005
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.132303112342376	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.0123100947802309	0.0983999307405714
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.18370446114917	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.179824513468362	0.0877983680805141
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.135882704661445	0
"I9"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.0711742864606326	0.0115356892629715
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.0796440688101735	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	0.224979255459744	0.119547049837379
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	1	0.301331398274779	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	1	0.401885979749908	0.242264820177532
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	2	0.121989053387178	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	2	-0.112660195461375	0.150512991366408
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	2	0.480273140112187	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	2	0.105067199408212	0.379679859528158
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	3	0.140662853555417	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	3	0.0889046049465283	0.0273791176751584
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"Without"	55	3	0.344854429139011	0
"I10"	"Chlamydomonas noctigama"	"Oligotrophic"	"High"	"With"	55	3	0.105761751367179	0.401069647268171
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"Without"	5.5	1	0.14151825600243	0
"I11"	"Chlamydomonas noctigama"	"Oligotrophic"	"Low"	"With"	5.5	1	-0.00983989045433948	0.190933188310295
